"","ID","country","secano.area","total.area","secano.pct","mirca.start","mirca.end","N.app.0d","N.app.40d","Coincidencias","New_FPU","NFPU_INT","New_Basin","Basin_Name","Region","elev","variedad.1","SecondAppDay","NOM_MUNICI","NOMBRE_DPT"
"170","2245","Colombia",7154.1,7154.1,100,76,166,57.6453018188477,NA,2245,"NWS_COL",183,"NWS","Northwest_South_America","AND",589,"IB0056_FM6",36,"SUÁREZ","TOLIMA"
"171","2191","Colombia",2346.2,2346.2,100,76,166,57.6453018188477,NA,2191,"NWS_COL",183,"NWS","Northwest_South_America","AND",1446,"IB0056_FM6",44,"PEREIRA","RISARALDA"
"172","2240","Colombia",63.8,63.8,100,76,166,57.6453018188477,NA,2240,"NWS_COL",183,"NWS","Northwest_South_America","AND",19,"IB0056_FM6",36,"EL LITORAL DEL SAN JUAN","CHOCÓ"
"173","2241","Colombia",13.1,13.1,100,76,166,57.6453018188477,NA,2241,"NWS_COL",183,"NWS","Northwest_South_America","AND",467,"IB0056_FM6",37,"EL LITORAL DEL SAN JUAN","CHOCÓ"
"174","1970","Colombia",5797.7,5797.7,100,76,166,57.6453018188477,NA,1970,"NWS_COL",183,"NWS","Northwest_South_America","AND",131,"IB0056_FM6",35,"CARMEN DEL DARIÉN  (Curbaradó)","CHOCÓ"
"175","2142","Colombia",3856.6,3856.6,100,76,166,57.6453018188477,NA,2142,"NWS_COL",183,"NWS","Northwest_South_America","AND",2324,"IB0006_INRA",60,"MARULANDA","CALDAS"
"176","2053","Colombia",3061.3,3061.3,100,76,166,57.6453018188477,NA,2053,"NWS_COL",183,"NWS","Northwest_South_America","AND",1906,"IB0006_INRA",49,"PEÑOL","ANTIOQUIA"
"177","2010","Colombia",437,437,100,76,166,57.6453018188477,NA,2010,"NWS_COL",183,"NWS","Northwest_South_America","AND",234,"IB0056_FM6",37,"MURINDÓ","ANTIOQUIA"
"178","1931","Colombia",4929.4,4929.4,100,76,166,57.6453018188477,NA,1931,"NWS_COL",183,"NWS","Northwest_South_America","AND",147,"IB0056_FM6",35,"CÁCERES","ANTIOQUIA"
"179","1885","Colombia",2801.4,2801.4,100,76,166,57.6453018188477,NA,1885,"NWS_COL",183,"NWS","Northwest_South_America","AND",90,"IB0056_FM6",35,"TURBO","ANTIOQUIA"
"180","1839","Colombia",10792.8,10792.8,100,76,166,57.6453018188477,NA,1839,"NWS_COL",183,"NWS","Northwest_South_America","AND",68,"IB0056_FM6",35,"CANALETE","CÓRDOBA"
